t,IMU0_ax,IMU0_ay,IMU0_az,IMU0_gx,IMU0_gy,IMU0_gz,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz
2025-11-13T04:17:32.753093,0.012000,0.328000,1.014000,14.992000,-60.022999,-36.037998,-0.122000,0.338000,0.743000,-17.473000,-50.595001,-38.893002,1.151000,0.173000,0.721000,-30.756001,-49.724998,-38.153000,0.691000,0.242000,1.015000,-6.389000,-48.046001,-42.655998,0.342000,0.372000,1.085000,3.481000,-45.037998,-35.793999
2025-11-13T04:17:32.753289,0.097000,0.307000,1.024000,2.176000,-33.389000,-36.076000,-0.127000,0.306000,0.724000,0.046000,-27.763000,-28.122000,1.207000,0.154000,0.725000,-34.466000,-22.802000,-24.962000,0.709000,0.204000,1.005000,-20.473000,-20.885000,-34.382000,0.387000,0.315000,1.022000,-9.771000,-16.664000,-33.153000
2025-11-13T04:17:32.753407,0.111000,0.286000,0.992000,-1.351000,-3.603000,-30.167999,-0.183000,0.348000,0.821000,15.870000,-6.557000,-19.718000,1.206000,0.115000,0.684000,-33.969002,1.000000,-12.626000,0.707000,0.174000,0.965000,-24.924000,1.947000,-26.962000,0.371000,0.275000,0.975000,-9.107000,6.802000,-26.962000
2025-11-13T04:17:32.753500,0.050000,0.278000,1.004000,1.023000,16.976999,-23.802000,-0.240000,0.391000,0.934000,23.099001,12.046000,-18.954000,1.150000,0.090000,0.626000,-28.687000,18.565001,2.298000,0.683000,0.149000,0.928000,-26.785999,19.756001,-15.740000,0.318000,0.272000,0.987000,-7.794000,21.549999,-16.747999
2025-11-13T04:17:32.918588,-0.121000,0.297000,1.083000,-3.702000,25.625999,-8.183000,-0.324000,0.430000,1.066000,13.504000,21.802000,-11.107000,0.828000,0.073000,0.569000,-10.969000,17.785999,16.412001,0.434000,0.108000,0.860000,-19.954000,16.069000,4.321000,0.091000,0.262000,0.981000,-12.733000,16.900999,-1.244000
2025-11-13T04:17:32.918703,-0.201000,0.286000,1.070000,-9.206000,17.847000,-2.748000,-0.357000,0.438000,1.072000,5.206000,15.344000,-9.962000,0.776000,0.073000,0.607000,-6.947000,7.664000,15.313000,0.377000,0.104000,0.868000,-17.518999,5.634000,5.641000,0.042000,0.253000,0.968000,-13.275000,7.344000,-0.779000
2025-11-13T04:17:32.918810,-0.240000,0.273000,1.033000,-12.374000,10.794000,-0.969000,-0.373000,0.449000,1.045000,-6.099000,9.565000,-8.771000,0.798000,0.084000,0.695000,-4.969000,-1.611000,13.649000,0.372000,0.111000,0.926000,-16.221001,-1.969000,4.840000,0.029000,0.262000,1.000000,-14.038000,2.053000,-0.702000
2025-11-13T04:17:32.918901,-0.277000,0.271000,1.015000,-13.664000,6.176000,-1.611000,-0.402000,0.418000,0.957000,-13.985000,9.656000,-9.298000,0.858000,0.114000,0.775000,-7.931000,-6.282000,16.061001,0.389000,0.138000,0.993000,-19.527000,-3.214000,5.947000,0.018000,0.283000,1.014000,-18.327999,1.275000,-1.397000
2025-11-13T04:17:33.138530,-0.332000,0.299000,0.935000,-5.130000,13.573000,19.794001,-0.405000,0.452000,0.837000,-5.672000,12.389000,21.198000,0.750000,0.154000,0.794000,23.542000,6.916000,10.847000,0.264000,0.167000,0.929000,6.756000,7.412000,17.954000,-0.080000,0.306000,0.950000,5.809000,10.008000,19.427000
2025-11-13T04:17:33.138658,-0.333000,0.307000,0.955000,-7.481000,14.351000,15.611000,-0.390000,0.463000,0.858000,-2.634000,12.366000,20.816999,0.759000,0.149000,0.785000,20.962000,7.969000,9.153000,0.264000,0.169000,0.942000,5.153000,5.534000,14.885000,-0.067000,0.307000,0.942000,5.947000,7.885000,16.344000
2025-11-13T04:17:33.138750,-0.328000,0.291000,0.929000,-7.244000,13.244000,14.664000,-0.378000,0.412000,0.897000,2.931000,13.130000,17.893000,0.753000,0.149000,0.790000,18.954000,5.405000,10.328000,0.266000,0.171000,0.953000,4.153000,0.115000,12.489000,-0.047000,0.312000,0.942000,6.885000,4.206000,15.374000
