t,IMU0_ax,IMU0_ay,IMU0_az,IMU0_gx,IMU0_gy,IMU0_gz,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz
2025-11-13T04:35:27.304531,-0.031000,0.622000,0.829000,-1.130000,2.641000,0.534000,-0.446000,0.355000,0.951000,-2.824000,1.244000,-0.679000,0.865000,0.429000,0.444000,0.893000,-2.031000,2.053000,0.660000,0.443000,0.623000,-6.557000,-1.626000,1.916000,0.268000,0.574000,0.781000,-1.153000,-0.740000,1.588000
2025-11-13T04:35:27.304710,-0.020000,0.619000,0.832000,-2.023000,1.802000,0.702000,-0.432000,0.350000,0.928000,-3.489000,0.885000,-1.160000,0.873000,0.435000,0.454000,0.840000,-2.115000,2.710000,0.662000,0.443000,0.623000,-6.664000,-1.298000,2.168000,0.272000,0.571000,0.777000,-1.405000,-0.435000,1.420000
2025-11-13T04:35:27.304827,-0.018000,0.609000,0.821000,-2.374000,2.344000,-0.214000,-0.421000,0.345000,0.918000,-2.489000,1.527000,-1.496000,0.873000,0.442000,0.456000,-0.061000,-0.328000,2.511000,0.661000,0.443000,0.626000,-7.176000,-0.031000,1.542000,0.267000,0.566000,0.772000,-1.389000,0.702000,0.305000
2025-11-13T04:35:27.304918,-0.020000,0.601000,0.820000,-1.809000,3.550000,-1.076000,-0.421000,0.343000,0.918000,-1.092000,2.832000,-0.901000,0.869000,0.437000,0.456000,-0.504000,0.840000,2.008000,0.652000,0.440000,0.615000,-7.489000,0.809000,0.908000,0.267000,0.563000,0.774000,-1.191000,1.550000,-0.397000
2025-11-13T04:35:27.371553,-0.026000,0.615000,0.824000,-0.740000,4.206000,-1.420000,-0.434000,0.354000,0.934000,-0.305000,2.473000,-1.076000,0.858000,0.437000,0.442000,-0.977000,0.595000,1.191000,0.653000,0.447000,0.616000,-7.321000,0.557000,0.107000,0.269000,0.574000,0.781000,-0.740000,0.443000,-0.809000
2025-11-13T04:35:27.371662,-0.026000,0.620000,0.828000,-0.580000,3.305000,-1.420000,-0.428000,0.356000,0.939000,-0.954000,2.008000,-1.687000,0.865000,0.437000,0.436000,-1.206000,-0.603000,1.511000,0.659000,0.446000,0.614000,-7.634000,-0.496000,0.443000,0.273000,0.575000,0.774000,-1.267000,0.099000,-0.359000
2025-11-13T04:35:27.371783,-0.012000,0.616000,0.831000,-1.481000,2.496000,-1.504000,-0.426000,0.347000,0.933000,-1.336000,1.756000,-1.916000,0.865000,0.440000,0.436000,-0.847000,-1.008000,1.435000,0.665000,0.440000,0.607000,-7.450000,-0.557000,0.366000,0.283000,0.570000,0.765000,-0.916000,-0.221000,-0.565000
2025-11-13T04:35:27.371873,-0.002000,0.608000,0.814000,-0.840000,2.687000,-1.313000,-0.414000,0.344000,0.926000,-0.519000,1.565000,-1.565000,0.873000,0.433000,0.436000,-0.817000,-0.496000,0.603000,0.673000,0.437000,0.598000,-6.802000,0.275000,-0.046000,0.289000,0.565000,0.765000,-0.214000,0.519000,-0.557000
2025-11-13T04:35:27.416635,-0.000000,0.625000,0.844000,-1.427000,3.916000,-0.687000,-0.420000,0.352000,0.945000,-1.802000,2.962000,-1.252000,0.890000,0.438000,0.437000,-0.099000,0.779000,2.534000,0.677000,0.447000,0.609000,-7.099000,0.924000,1.473000,0.290000,0.574000,0.778000,-1.168000,1.557000,0.557000
2025-11-13T04:35:27.416752,-0.003000,0.615000,0.833000,-1.420000,4.275000,-0.519000,-0.417000,0.348000,0.941000,-1.237000,2.916000,-1.122000,0.884000,0.438000,0.436000,-0.198000,1.069000,1.916000,0.676000,0.445000,0.608000,-7.130000,1.229000,1.130000,0.292000,0.571000,0.779000,-1.084000,1.908000,0.168000
2025-11-13T04:35:27.416851,-0.002000,0.610000,0.824000,-1.046000,4.519000,-1.053000,-0.417000,0.349000,0.951000,-0.924000,3.542000,-0.908000,0.874000,0.436000,0.442000,-0.382000,1.733000,2.282000,0.671000,0.446000,0.611000,-7.053000,1.733000,1.061000,0.280000,0.570000,0.776000,-0.832000,2.115000,-0.198000
2025-11-13T04:35:27.416942,-0.010000,0.608000,0.827000,-0.565000,4.962000,-0.977000,-0.423000,0.346000,0.940000,-0.908000,3.664000,-0.580000,0.872000,0.439000,0.440000,-0.763000,1.435000,1.885000,0.662000,0.441000,0.614000,-7.649000,1.740000,0.840000,0.279000,0.570000,0.780000,-1.107000,2.137000,-0.237000
2025-11-13T04:35:27.474009,-0.020000,0.608000,0.831000,-1.733000,3.763000,-1.534000,-0.430000,0.346000,0.938000,-1.115000,2.863000,-1.992000,0.866000,0.431000,0.450000,-1.389000,0.061000,2.214000,0.657000,0.435000,0.608000,-8.000000,0.885000,0.779000,0.271000,0.561000,0.775000,-1.282000,0.977000,-0.809000
2025-11-13T04:35:27.474115,-0.019000,0.603000,0.817000,-1.321000,3.756000,-1.771000,-0.424000,0.342000,0.931000,-0.649000,2.840000,-1.481000,0.870000,0.426000,0.445000,-1.786000,0.389000,1.992000,0.659000,0.430000,0.611000,-8.046000,0.802000,0.397000,0.271000,0.551000,0.772000,-1.534000,0.924000,-0.931000
2025-11-13T04:35:27.474222,-0.017000,0.596000,0.818000,-0.985000,3.290000,-1.137000,-0.426000,0.342000,0.943000,-0.405000,2.321000,-1.252000,0.861000,0.427000,0.435000,-1.260000,0.153000,1.550000,0.663000,0.432000,0.604000,-7.519000,0.847000,-0.244000,0.278000,0.559000,0.769000,-0.733000,0.733000,-0.939000
2025-11-13T04:35:27.474312,-0.003000,0.602000,0.822000,-0.168000,3.344000,-1.725000,-0.424000,0.348000,0.932000,-0.038000,1.817000,-0.939000,0.869000,0.433000,0.436000,-1.031000,0.252000,0.679000,0.670000,0.439000,0.598000,-7.008000,0.611000,-0.580000,0.288000,0.565000,0.769000,0.244000,0.573000,-0.832000
2025-11-13T04:35:27.539428,0.001000,0.622000,0.842000,0.397000,4.443000,-0.458000,-0.421000,0.348000,0.947000,-0.221000,2.893000,-0.198000,0.891000,0.438000,0.430000,-0.061000,1.458000,0.939000,0.685000,0.451000,0.619000,-6.313000,1.481000,0.695000,0.293000,0.581000,0.783000,-0.076000,2.214000,-0.038000
2025-11-13T04:35:27.539556,-0.002000,0.623000,0.839000,-0.481000,4.878000,-0.969000,-0.425000,0.349000,0.953000,-0.733000,3.305000,-0.130000,0.886000,0.437000,0.438000,0.061000,1.916000,2.015000,0.684000,0.448000,0.612000,-6.802000,1.618000,1.290000,0.289000,0.576000,0.786000,-0.847000,1.855000,0.435000
2025-11-13T04:35:27.539662,-0.004000,0.620000,0.830000,-1.038000,4.672000,-0.374000,-0.427000,0.353000,0.950000,-1.321000,3.015000,-0.710000,0.873000,0.430000,0.427000,0.076000,1.305000,2.168000,0.670000,0.442000,0.609000,-6.534000,1.351000,1.840000,0.281000,0.571000,0.779000,-0.809000,1.763000,0.718000
2025-11-13T04:35:27.539752,-0.010000,0.611000,0.826000,-1.221000,4.450000,0.191000,-0.425000,0.354000,0.942000,-1.794000,3.069000,-0.298000,0.868000,0.425000,0.437000,0.695000,0.740000,2.168000,0.663000,0.437000,0.607000,-6.275000,0.802000,1.618000,0.275000,0.565000,0.773000,-0.573000,1.290000,0.863000
2025-11-13T04:35:27.674186,-0.010000,0.600000,0.825000,-0.840000,4.580000,0.206000,-0.419000,0.336000,0.924000,-1.107000,3.023000,-0.282000,0.868000,0.430000,0.445000,0.573000,1.282000,1.763000,0.660000,0.429000,0.610000,-6.061000,1.756000,0.977000,0.278000,0.555000,0.762000,0.198000,1.901000,0.031000
2025-11-13T04:35:27.674292,-0.015000,0.595000,0.809000,0.145000,4.924000,-0.557000,-0.420000,0.340000,0.920000,-0.176000,3.008000,0.656000,0.863000,0.425000,0.440000,0.038000,2.107000,0.725000,0.658000,0.436000,0.606000,-5.718000,2.313000,0.160000,0.275000,0.552000,0.766000,0.901000,2.679000,-0.481000
2025-11-13T04:35:27.674395,-0.010000,0.598000,0.820000,1.107000,5.267000,-1.145000,-0.421000,0.344000,0.923000,0.740000,2.672000,0.817000,0.864000,0.425000,0.437000,0.298000,2.267000,-0.275000,0.657000,0.433000,0.604000,-5.176000,2.557000,-0.481000,0.279000,0.557000,0.771000,1.527000,2.214000,-0.634000
2025-11-13T04:35:27.674485,-0.009000,0.607000,0.829000,1.511000,5.252000,-0.405000,-0.431000,0.353000,0.945000,0.847000,2.496000,1.473000,0.864000,0.435000,0.434000,0.580000,1.863000,-0.565000,0.666000,0.443000,0.618000,-4.802000,2.168000,-0.595000,0.277000,0.577000,0.775000,1.969000,2.229000,-0.427000
