t,IMU0_ax,IMU0_ay,IMU0_az,IMU0_gx,IMU0_gy,IMU0_gz,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz
2025-11-13T04:26:57.823354,-0.332000,0.480000,0.853000,-2.740000,3.282000,-1.702000,-0.385000,0.509000,0.876000,-0.954000,3.122000,-1.855000,0.686000,0.358000,0.800000,-1.748000,0.389000,1.611000,0.360000,0.328000,0.872000,-8.092000,-0.145000,0.153000,0.015000,0.375000,0.917000,-1.626000,1.000000,-1.489000
2025-11-13T04:26:57.823553,-0.326000,0.475000,0.843000,-1.252000,3.901000,-1.870000,-0.377000,0.518000,0.865000,0.046000,2.588000,-1.466000,0.686000,0.362000,0.811000,-1.763000,0.450000,0.687000,0.360000,0.331000,0.872000,-8.000000,0.885000,-0.664000,0.012000,0.379000,0.907000,-0.855000,1.557000,-2.038000
2025-11-13T04:26:57.823646,-0.317000,0.475000,0.839000,0.664000,3.863000,-1.962000,-0.376000,0.519000,0.870000,0.679000,1.908000,-0.985000,0.687000,0.356000,0.793000,-1.336000,0.664000,-0.221000,0.368000,0.325000,0.865000,-6.618000,1.313000,-1.290000,0.019000,0.378000,0.920000,0.252000,1.588000,-2.076000
2025-11-13T04:26:57.823745,-0.319000,0.482000,0.862000,1.847000,3.779000,-1.229000,-0.380000,0.522000,0.887000,0.344000,1.481000,-0.290000,0.694000,0.353000,0.796000,-0.473000,0.832000,-0.573000,0.375000,0.331000,0.870000,-6.214000,1.084000,-0.947000,0.030000,0.388000,0.927000,0.908000,1.427000,-1.137000
2025-11-13T04:26:57.854397,-0.316000,0.497000,0.885000,-1.450000,2.985000,0.252000,-0.379000,0.516000,0.885000,-2.824000,2.969000,-0.840000,0.710000,0.369000,0.815000,0.015000,-0.641000,2.855000,0.382000,0.341000,0.898000,-6.908000,-0.298000,2.252000,0.021000,0.392000,0.945000,-1.687000,0.305000,1.038000
2025-11-13T04:26:57.854517,-0.322000,0.492000,0.876000,-3.153000,3.924000,-0.206000,-0.385000,0.511000,0.876000,-2.626000,4.183000,-1.290000,0.712000,0.362000,0.809000,-1.115000,0.420000,3.260000,0.378000,0.337000,0.895000,-8.229000,0.519000,2.405000,0.015000,0.388000,0.937000,-3.061000,0.985000,0.588000
2025-11-13T04:26:57.854610,-0.326000,0.483000,0.863000,-3.450000,4.366000,-0.977000,-0.381000,0.509000,0.862000,-1.573000,4.748000,-1.649000,0.696000,0.364000,0.815000,-2.229000,1.313000,3.153000,0.367000,0.331000,0.885000,-9.237000,1.221000,1.672000,0.012000,0.380000,0.930000,-3.160000,2.405000,-0.366000
2025-11-13T04:26:57.854726,-0.320000,0.475000,0.861000,-2.183000,5.160000,-2.000000,-0.381000,0.510000,0.872000,-0.290000,5.076000,-1.733000,0.697000,0.358000,0.800000,-2.336000,2.588000,2.328000,0.371000,0.321000,0.872000,-8.992000,2.550000,0.817000,0.017000,0.371000,0.916000,-2.252000,2.992000,-1.031000
2025-11-13T04:26:57.855404,-0.316000,0.476000,0.862000,-0.779000,4.947000,-1.389000,-0.386000,0.512000,0.891000,-0.481000,2.977000,-1.221000,0.681000,0.348000,0.786000,-0.802000,0.786000,1.389000,0.368000,0.317000,0.861000,-6.618000,0.931000,0.305000,0.024000,0.374000,0.915000,-0.076000,0.908000,-0.389000
2025-11-13T04:26:57.855517,-0.316000,0.477000,0.854000,-0.359000,3.771000,-0.840000,-0.380000,0.508000,0.896000,-1.603000,1.885000,-0.595000,0.689000,0.350000,0.777000,0.511000,-0.214000,0.954000,0.377000,0.323000,0.866000,-5.695000,-0.435000,0.786000,0.032000,0.378000,0.921000,0.229000,-0.214000,0.382000
