t,IMU0_ax,IMU0_ay,IMU0_az,IMU0_gx,IMU0_gy,IMU0_gz,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz
2025-11-13T04:29:45.132323,-0.367000,0.327000,0.865000,15.519000,44.327999,-1.435000,-0.262000,0.532000,0.968000,39.130001,13.160000,16.069000,0.563000,0.302000,0.679000,-7.969000,40.167999,-4.198000,0.228000,0.283000,0.794000,-8.595000,39.214001,-5.969000,-0.073000,0.364000,0.857000,4.756000,34.808998,-7.229000
2025-11-13T04:29:45.132503,-0.374000,0.346000,0.903000,15.038000,35.633999,1.565000,-0.256000,0.536000,0.992000,30.365999,8.634000,15.084000,0.591000,0.305000,0.699000,-1.046000,27.969000,-3.519000,0.221000,0.305000,0.843000,-4.656000,25.420000,-3.573000,-0.105000,0.382000,0.906000,4.252000,25.443001,-3.969000
2025-11-13T04:29:45.132600,-0.396000,0.351000,0.898000,13.183000,25.976999,3.779000,-0.258000,0.532000,0.973000,22.634001,4.107000,12.695000,0.592000,0.351000,0.768000,0.824000,16.992001,-2.481000,0.220000,0.328000,0.885000,-4.626000,15.664000,-2.756000,-0.113000,0.392000,0.902000,2.458000,16.893000,-3.779000
2025-11-13T04:29:45.132696,-0.391000,0.360000,0.904000,12.145000,19.091999,4.626000,-0.254000,0.525000,0.932000,19.305000,1.802000,9.771000,0.635000,0.385000,0.830000,0.092000,11.725000,-3.328000,0.222000,0.348000,0.920000,-4.756000,12.008000,-4.702000,-0.118000,0.401000,0.916000,2.870000,15.641000,-6.092000
2025-11-13T04:29:45.133283,-0.483000,0.333000,1.021000,-1.718000,4.389000,-1.573000,-0.369000,0.594000,0.999000,1.977000,4.221000,-6.115000,0.679000,0.293000,0.889000,-1.542000,-5.832000,3.130000,0.236000,0.250000,1.000000,-9.336000,-9.595000,1.351000,-0.156000,0.309000,1.010000,-4.550000,-5.053000,-0.756000
2025-11-13T04:29:45.133385,-0.486000,0.293000,0.960000,-2.832000,1.420000,-2.573000,-0.368000,0.574000,0.931000,1.534000,2.397000,-7.679000,0.711000,0.309000,0.951000,-2.511000,-7.511000,0.870000,0.244000,0.259000,1.023000,-8.924000,-7.802000,-1.771000,-0.156000,0.313000,0.995000,-2.817000,-3.092000,-4.298000
2025-11-13T04:29:45.133481,-0.470000,0.278000,0.914000,0.023000,3.588000,-6.504000,-0.332000,0.570000,0.891000,5.496000,1.519000,-8.305000,0.749000,0.334000,0.996000,-6.084000,-1.443000,-1.924000,0.260000,0.277000,1.064000,-11.000000,-0.374000,-6.496000,-0.143000,0.327000,1.012000,-2.908000,5.237000,-9.992000
2025-11-13T04:29:45.133574,-0.455000,0.297000,0.930000,4.244000,9.786000,-10.397000,-0.333000,0.576000,0.884000,12.084000,3.718000,-7.328000,0.777000,0.338000,0.998000,-11.008000,7.336000,-3.603000,0.284000,0.295000,1.064000,-15.206000,8.527000,-9.672000,-0.128000,0.352000,1.035000,-4.153000,11.664000,-13.893000
2025-11-13T04:29:45.232391,-0.449000,0.357000,0.988000,1.786000,19.809000,-16.221001,-0.322000,0.595000,0.946000,20.618000,9.290000,-12.969000,0.749000,0.343000,0.911000,-17.038000,16.924000,-1.863000,0.294000,0.314000,1.018000,-20.527000,15.748000,-9.847000,-0.110000,0.395000,1.040000,-7.763000,16.466000,-14.901000
2025-11-13T04:29:45.232501,-0.441000,0.371000,0.986000,0.847000,20.122000,-16.221001,-0.296000,0.606000,0.988000,18.504000,10.672000,-15.267000,0.724000,0.350000,0.876000,-16.679001,13.496000,1.000000,0.280000,0.328000,1.010000,-21.695000,11.672000,-7.649000,-0.112000,0.413000,1.030000,-10.313000,13.489000,-13.534000
2025-11-13T04:29:45.232598,-0.445000,0.398000,1.002000,-1.351000,16.298000,-15.504000,-0.271000,0.616000,1.011000,11.901000,11.885000,-16.214001,0.711000,0.353000,0.854000,-16.214001,7.244000,4.244000,0.275000,0.337000,0.982000,-23.069000,5.191000,-4.496000,-0.104000,0.417000,1.010000,-13.435000,7.107000,-10.595000
2025-11-13T04:29:45.232694,-0.439000,0.417000,1.001000,-5.450000,9.336000,-14.718000,-0.274000,0.625000,1.003000,4.802000,12.481000,-17.733000,0.691000,0.356000,0.840000,-14.298000,1.481000,7.221000,0.276000,0.338000,0.961000,-22.136999,-1.191000,-1.130000,-0.100000,0.419000,0.987000,-14.771000,1.802000,-7.450000
2025-11-13T04:29:45.277249,-0.413000,0.409000,0.937000,-11.260000,0.786000,-11.115000,-0.251000,0.608000,0.946000,-4.588000,10.725000,-23.656000,0.693000,0.377000,0.863000,-13.229000,-6.641000,11.466000,0.262000,0.346000,0.953000,-23.511000,-6.656000,2.595000,-0.104000,0.419000,0.958000,-18.136999,-3.855000,-4.489000
2025-11-13T04:29:45.277392,-0.401000,0.402000,0.916000,-12.740000,-0.420000,-10.618000,-0.228000,0.612000,0.915000,-6.450000,12.145000,-24.802000,0.695000,0.371000,0.863000,-14.550000,-4.008000,13.779000,0.264000,0.348000,0.955000,-25.243999,-6.107000,4.313000,-0.103000,0.407000,0.940000,-19.763000,-2.695000,-3.130000
2025-11-13T04:29:45.277484,-0.399000,0.394000,0.904000,-14.221000,-0.237000,-9.115000,-0.240000,0.608000,0.884000,-6.885000,13.489000,-24.702000,0.675000,0.360000,0.868000,-14.466000,-3.008000,15.641000,0.245000,0.335000,0.940000,-26.153000,-4.000000,5.679000,-0.117000,0.393000,0.924000,-20.679001,-1.061000,-1.847000
2025-11-13T04:29:45.277584,-0.407000,0.385000,0.878000,-15.588000,1.679000,-8.534000,-0.255000,0.597000,0.876000,-6.832000,14.328000,-26.243999,0.658000,0.359000,0.875000,-14.878000,-1.069000,17.275000,0.229000,0.321000,0.942000,-27.504000,-1.221000,6.191000,-0.139000,0.385000,0.915000,-22.320999,0.107000,-2.107000
2025-11-13T04:29:45.374642,-0.420000,0.321000,0.836000,-19.069000,-2.298000,-8.061000,-0.264000,0.574000,0.836000,-16.427000,15.328000,-28.061001,0.611000,0.283000,0.828000,-18.450001,-1.550000,19.313000,0.204000,0.247000,0.884000,-31.802000,-1.863000,6.557000,-0.128000,0.306000,0.867000,-26.847000,-2.076000,-2.863000
2025-11-13T04:29:45.374773,-0.379000,0.308000,0.810000,-17.205999,-1.405000,-6.634000,-0.209000,0.581000,0.817000,-16.351000,13.206000,-20.129999,0.620000,0.271000,0.824000,-16.336000,0.069000,17.405001,0.226000,0.236000,0.863000,-28.931000,1.252000,6.473000,-0.100000,0.293000,0.833000,-23.313000,0.489000,-1.634000
2025-11-13T04:29:45.374875,-0.361000,0.295000,0.805000,-13.809000,0.405000,-1.573000,-0.258000,0.567000,0.810000,-12.649000,10.160000,-10.267000,0.615000,0.264000,0.815000,-12.221000,3.809000,15.916000,0.220000,0.225000,0.834000,-24.382000,5.771000,5.802000,-0.107000,0.279000,0.819000,-18.076000,3.267000,-0.206000
2025-11-13T04:29:45.374977,-0.371000,0.291000,0.807000,-10.687000,4.061000,1.756000,-0.283000,0.559000,0.819000,-8.397000,6.840000,-5.710000,0.598000,0.257000,0.808000,-7.305000,7.786000,12.321000,0.202000,0.215000,0.844000,-17.649000,9.137000,5.038000,-0.131000,0.272000,0.820000,-10.656000,6.000000,1.779000
2025-11-13T04:29:45.497295,-0.444000,0.293000,0.796000,-1.924000,3.473000,6.313000,-0.323000,0.582000,0.882000,-7.588000,-2.863000,-0.824000,0.563000,0.280000,0.878000,-0.504000,10.023000,6.298000,0.148000,0.236000,0.901000,-11.260000,13.412000,0.290000,-0.204000,0.296000,0.873000,-6.321000,5.214000,0.168000
2025-11-13T04:29:45.497432,-0.468000,0.292000,0.811000,-0.481000,-0.695000,6.389000,-0.339000,0.571000,0.872000,-11.634000,-8.191000,-5.427000,0.591000,0.286000,0.929000,-4.374000,9.641000,7.198000,0.123000,0.240000,0.941000,-14.809000,14.763000,-2.634000,-0.235000,0.292000,0.896000,-7.740000,2.282000,-2.534000
2025-11-13T04:29:45.497525,-0.486000,0.290000,0.823000,1.031000,-4.794000,5.489000,-0.318000,0.569000,0.846000,-17.534000,-9.550000,-8.595000,0.571000,0.271000,0.916000,-7.695000,11.298000,6.466000,0.133000,0.229000,0.950000,-17.365999,15.527000,-5.008000,-0.217000,0.292000,0.907000,-8.939000,1.519000,-5.107000
2025-11-13T04:29:45.497625,-0.479000,0.297000,0.834000,1.374000,-6.458000,3.282000,-0.316000,0.552000,0.791000,-20.344000,-8.237000,-8.443000,0.575000,0.261000,0.888000,-10.053000,9.458000,6.702000,0.144000,0.232000,0.948000,-19.747999,14.786000,-5.313000,-0.206000,0.301000,0.909000,-12.450000,2.000000,-6.771000
2025-11-13T04:29:45.559458,-0.365000,0.325000,0.829000,8.015000,9.611000,5.084000,-0.285000,0.567000,0.870000,-14.672000,-0.763000,5.397000,0.585000,0.216000,0.756000,2.916000,15.099000,2.382000,0.208000,0.199000,0.828000,-3.115000,19.298000,2.641000,-0.098000,0.288000,0.839000,5.237000,12.763000,6.725000
2025-11-13T04:29:45.559576,-0.386000,0.348000,0.853000,8.855000,7.076000,10.794000,-0.278000,0.573000,0.875000,-10.160000,-6.176000,8.359000,0.549000,0.252000,0.784000,12.840000,10.992000,1.221000,0.146000,0.225000,0.856000,6.336000,13.107000,5.443000,-0.180000,0.301000,0.867000,11.756000,6.137000,11.511000
2025-11-13T04:29:45.559669,-0.443000,0.351000,0.851000,9.992000,1.939000,14.687000,-0.287000,0.564000,0.904000,-10.603000,-11.901000,12.763000,0.546000,0.299000,0.877000,16.794001,5.557000,-0.817000,0.104000,0.252000,0.927000,9.611000,7.794000,3.534000,-0.232000,0.317000,0.894000,13.160000,0.206000,9.740000
2025-11-13T04:29:45.559759,-0.460000,0.339000,0.841000,10.481000,-3.573000,14.748000,-0.296000,0.562000,0.896000,-13.389000,-15.489000,12.214000,0.565000,0.320000,0.941000,12.679000,1.832000,-2.725000,0.100000,0.268000,0.972000,6.802000,6.656000,-0.198000,-0.238000,0.318000,0.924000,11.282000,-2.901000,5.321000
2025-11-13T04:29:45.609663,-0.411000,0.372000,0.875000,11.672000,4.779000,6.061000,-0.246000,0.543000,0.775000,-2.901000,-6.458000,17.237000,0.652000,0.305000,0.931000,6.489000,14.183000,-3.061000,0.182000,0.280000,0.992000,3.282000,20.542000,-1.198000,-0.143000,0.347000,0.951000,13.412000,13.893000,3.679000
2025-11-13T04:29:45.609769,-0.390000,0.382000,0.899000,12.076000,13.489000,6.336000,-0.252000,0.558000,0.830000,7.664000,-1.847000,20.587999,0.671000,0.300000,0.914000,7.183000,17.122000,-3.710000,0.198000,0.279000,0.987000,3.504000,21.358999,0.985000,-0.132000,0.358000,0.970000,11.672000,16.603001,4.817000
2025-11-13T04:29:45.609873,-0.394000,0.394000,0.912000,9.954000,18.458000,6.931000,-0.246000,0.573000,0.913000,9.221000,1.649000,22.412001,0.666000,0.312000,0.911000,7.855000,18.412001,-1.969000,0.199000,0.290000,0.995000,3.382000,21.243999,3.366000,-0.140000,0.362000,0.969000,10.504000,17.870001,6.267000
2025-11-13T04:29:45.609966,-0.420000,0.398000,0.921000,8.496000,18.785999,8.366000,-0.279000,0.576000,0.972000,5.916000,3.550000,20.847000,0.636000,0.305000,0.903000,8.519000,16.816999,-0.664000,0.176000,0.288000,0.976000,2.786000,19.747999,5.145000,-0.165000,0.355000,0.962000,9.519000,15.786000,7.901000
2025-11-13T04:29:45.739358,-0.489000,0.342000,0.861000,14.046000,-7.802000,17.023001,-0.317000,0.564000,0.913000,-12.481000,-18.656000,18.358999,0.540000,0.297000,0.930000,24.778999,-11.595000,-14.649000,0.078000,0.267000,0.978000,23.847000,-12.626000,1.779000,-0.254000,0.332000,0.945000,24.992001,-12.038000,9.542000
2025-11-13T04:29:45.739467,-0.506000,0.354000,0.887000,15.145000,-9.656000,13.137000,-0.323000,0.538000,0.866000,-9.443000,-20.733000,16.214001,0.601000,0.328000,0.976000,22.069000,-15.901000,-16.740000,0.105000,0.283000,1.034000,21.611000,-15.412000,-1.748000,-0.233000,0.353000,0.983000,22.962000,-11.992000,3.626000
2025-11-13T04:29:45.739578,-0.482000,0.369000,0.901000,13.649000,-6.504000,7.084000,-0.271000,0.534000,0.833000,-5.145000,-15.992000,13.771000,0.655000,0.345000,1.017000,12.954000,-11.038000,-17.298000,0.156000,0.288000,1.045000,16.129999,-15.435000,-2.863000,-0.179000,0.365000,1.000000,18.580000,-7.214000,-0.313000
2025-11-13T04:29:45.739669,-0.443000,0.380000,0.899000,11.008000,-0.282000,2.160000,-0.268000,0.545000,0.822000,1.908000,-8.840000,12.374000,0.686000,0.338000,1.008000,5.939000,-4.924000,-16.458000,0.198000,0.280000,1.022000,10.710000,-10.450000,-1.748000,-0.135000,0.368000,0.979000,14.092000,1.748000,-1.573000
2025-11-13T04:29:45.879507,-0.403000,0.380000,0.869000,7.153000,14.687000,-0.634000,-0.220000,0.573000,0.882000,13.214000,-0.031000,17.014999,0.630000,0.302000,0.868000,5.656000,8.847000,-14.649000,0.176000,0.282000,0.938000,6.252000,3.542000,-1.458000,-0.158000,0.355000,0.926000,11.679000,9.435000,-0.618000
