t,IMU0_ax,IMU0_ay,IMU0_az,IMU0_gx,IMU0_gy,IMU0_gz,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz
2025-11-13T04:42:19.926634,0.344000,0.389000,0.921000,2.901000,-3.733000,-11.924000,-0.113000,0.094000,1.119000,5.244000,-3.695000,-12.748000,1.013000,0.160000,0.071000,-12.947000,-1.260000,-3.496000,0.611000,0.306000,0.755000,-9.847000,-2.832000,-12.168000,0.462000,0.332000,0.829000,0.412000,-6.191000,-11.244000
2025-11-13T04:42:19.926834,0.343000,0.381000,0.942000,1.611000,-5.160000,-10.420000,-0.131000,0.084000,1.138000,2.878000,-4.481000,-12.779000,0.984000,0.146000,0.054000,-13.641000,-3.863000,-3.160000,0.619000,0.285000,0.738000,-10.534000,-6.458000,-11.000000,0.472000,0.323000,0.845000,-0.168000,-8.229000,-10.000000
2025-11-13T04:42:19.926928,0.340000,0.368000,0.957000,0.023000,-7.725000,-9.397000,-0.146000,0.075000,1.145000,0.519000,-6.397000,-13.947000,0.993000,0.126000,0.030000,-12.382000,-7.542000,-3.908000,0.630000,0.280000,0.730000,-9.038000,-10.282000,-9.695000,0.481000,0.322000,0.845000,-0.183000,-11.626000,-8.618000
2025-11-13T04:42:19.927029,0.360000,0.367000,0.945000,-1.031000,-9.504000,-8.405000,-0.132000,0.082000,1.136000,-1.664000,-8.412000,-15.023000,1.011000,0.133000,0.025000,-8.641000,-10.840000,-2.489000,0.638000,0.289000,0.723000,-6.023000,-12.099000,-7.695000,0.486000,0.332000,0.820000,0.305000,-13.977000,-7.382000
2025-11-13T04:42:20.083845,0.423000,0.414000,0.958000,2.565000,-0.389000,-10.443000,-0.052000,0.074000,1.147000,5.496000,-0.557000,-10.237000,1.132000,0.179000,0.016000,-8.710000,1.695000,-2.656000,0.725000,0.344000,0.784000,-7.985000,1.916000,-8.183000,0.587000,0.369000,0.857000,0.153000,0.206000,-10.260000
2025-11-13T04:42:20.083970,0.449000,0.415000,0.959000,1.305000,4.221000,-10.672000,-0.031000,0.070000,1.147000,5.534000,4.809000,-8.008000,1.130000,0.165000,0.001000,-8.023000,6.473000,0.168000,0.743000,0.332000,0.770000,-9.725000,6.321000,-5.817000,0.606000,0.358000,0.847000,-0.832000,4.855000,-7.305000
2025-11-13T04:42:20.084062,0.473000,0.401000,0.941000,-0.504000,8.672000,-8.595000,-0.030000,0.077000,1.148000,5.336000,9.382000,-5.183000,1.105000,0.147000,-0.025000,-5.817000,10.137000,2.969000,0.747000,0.322000,0.750000,-11.359000,9.611000,-1.748000,0.599000,0.354000,0.839000,-1.420000,8.595000,-3.573000
2025-11-13T04:42:20.084180,0.473000,0.391000,0.937000,-1.595000,12.130000,-4.107000,-0.045000,0.078000,1.149000,4.137000,12.534000,-2.061000,1.070000,0.143000,-0.035000,-1.115000,11.786000,6.611000,0.727000,0.318000,0.723000,-10.626000,12.137000,2.496000,0.578000,0.355000,0.823000,-1.710000,10.817000,-0.053000
2025-11-13T04:42:20.123806,0.383000,0.415000,0.919000,-3.916000,6.107000,4.160000,-0.060000,0.100000,1.115000,-5.603000,7.252000,0.802000,1.031000,0.192000,0.043000,4.840000,0.344000,8.405000,0.642000,0.345000,0.738000,-9.328000,3.305000,7.718000,0.512000,0.379000,0.818000,-2.763000,3.443000,7.351000
2025-11-13T04:42:20.123925,0.381000,0.406000,0.906000,-5.550000,7.046000,5.435000,-0.068000,0.101000,1.107000,-6.076000,9.282000,1.863000,1.018000,0.188000,0.049000,4.603000,2.046000,9.229000,0.632000,0.339000,0.731000,-10.061000,4.344000,8.565000,0.490000,0.372000,0.805000,-3.679000,4.725000,8.328000
